phase,sample,epsilon,verdict,seconds
1,0,0.05,verified,0.31
1,1,0.05,verified,0.203
1,2,0.05,verified,0.2034
1,3,0.05,verified,0.1986
1,4,0.05,verified,0.2718
1,5,0.05,verified,0.2046
1,6,0.05,verified,0.2064
1,7,0.05,verified,0.2023
1,8,0.05,falsified,0.0192
1,9,0.05,verified,0.2086
1,10,0.05,verified,0.1971
1,11,0.05,verified,0.1949
1,12,0.05,verified,0.199
1,13,0.05,verified,0.201
1,14,0.05,verified,0.2059
1,15,0.05,verified,0.2061
1,16,0.05,verified,0.2051
1,17,0.05,verified,0.2036
1,18,0.05,verified,0.2082
1,19,0.05,verified,0.2048
1,20,0.05,verified,0.2041
1,21,0.05,verified,0.2045
1,22,0.05,verified,0.2024
1,23,0.05,verified,0.2024
1,24,0.05,verified,0.2641
1,25,0.05,verified,0.2069
1,26,0.05,verified,0.2051
1,27,0.05,verified,0.2048
1,28,0.05,verified,0.2099
1,29,0.05,verified,0.201
1,30,0.05,verified,0.204
1,31,0.05,verified,0.2019
1,32,0.05,verified,0.2035
1,33,0.05,falsified,0.0203
1,34,0.05,verified,0.2105
1,35,0.05,verified,0.2072
1,36,0.05,verified,0.201
1,37,0.05,verified,0.2041
1,38,0.05,verified,0.2018
1,39,0.05,verified,0.2089
1,40,0.05,verified,0.2622
1,41,0.05,verified,0.2056
1,42,0.05,verified,0.2064
1,43,0.05,verified,0.2133
1,44,0.05,verified,0.2119
1,45,0.05,verified,0.2057
1,46,0.05,verified,0.2044
1,47,0.05,verified,0.2105
1,48,0.05,verified,0.2146
1,49,0.05,verified,0.2011
1,50,0.05,verified,0.2027
1,51,0.05,verified,0.2082
1,52,0.05,verified,0.1909
1,53,0.05,verified,0.2075
1,54,0.05,verified,0.2002
1,55,0.05,verified,0.2026
1,56,0.05,verified,0.2031
1,57,0.05,verified,0.1977
1,58,0.05,verified,0.2062
1,59,0.05,verified,0.2616
1,60,0.05,verified,0.2076
1,61,0.05,verified,0.2053
1,62,0.05,verified,0.2098
1,63,0.05,verified,0.2117
1,64,0.05,verified,0.1959
1,65,0.05,verified,0.2078
1,66,0.05,verified,0.6099
1,67,0.05,verified,0.2066
1,68,0.05,verified,0.2081
1,69,0.05,verified,0.2104
1,70,0.05,verified,0.2067
1,71,0.05,verified,0.2078
1,72,0.05,verified,0.211
1,73,0.05,verified,0.2095
1,74,0.05,verified,0.2032
1,75,0.05,verified,0.2133
1,76,0.05,verified,0.2079
1,77,0.05,verified,0.2089
1,78,0.05,verified,0.2062
1,79,0.05,verified,0.2084
1,80,0.05,verified,0.2044
1,81,0.05,verified,0.2075
1,82,0.05,verified,0.209
1,83,0.05,verified,0.1992
1,84,0.05,verified,0.273
1,85,0.05,verified,0.2056
1,86,0.05,verified,0.204
1,87,0.05,verified,0.2113
1,88,0.05,verified,0.2062
1,89,0.05,verified,0.2056
1,90,0.05,verified,0.2144
1,91,0.05,verified,0.2025
1,92,0.05,falsified,0.0201
1,93,0.05,verified,0.2052
1,94,0.05,verified,0.2076
1,95,0.05,verified,0.2128
1,96,0.05,falsified,0.0195
1,97,0.05,verified,0.1992
1,98,0.05,verified,0.207
1,99,0.05,verified,0.2039
2,0,0.01,verified,0.2495
2,0,0.02,verified,0.2049
2,0,0.03,verified,0.1977
2,0,0.04,verified,0.2069
2,0,0.05,verified,0.1966
2,0,0.06,verified,0.2722
2,0,0.07,verified,0.1971
2,0,0.08,verified,0.2074
2,0,0.09,verified,0.2102
2,0,0.1,verified,0.2068
2,0,0.11,verified,0.2131
2,0,0.12,verified,0.2091
2,0,0.13,verified,0.2102
2,0,0.14,verified,0.2084
2,0,0.15,verified,0.2105
2,0,0.16,verified,0.3679
2,0,0.17,verified,0.5085
2,0,0.18,verified,0.7093
2,0,0.19,verified,1.1123
2,0,0.2,verified,1.5194
2,8,0.01,verified,0.2093
2,8,0.02,verified,0.2038
2,8,0.03,falsified,0.0197
2,8,0.04,falsified,0.0202
2,8,0.05,falsified,0.0108
2,8,0.06,falsified,0.0196
2,8,0.07,falsified,0.0197
2,8,0.08,falsified,0.0191
2,8,0.09,falsified,0.0197
2,8,0.1,falsified,0.0197
2,8,0.11,falsified,0.0196
2,8,0.12,falsified,0.0195
2,8,0.13,falsified,0.0197
2,8,0.14,falsified,0.0197
2,8,0.15,falsified,0.0194
2,8,0.16,falsified,0.0197
2,8,0.17,falsified,0.0192
2,8,0.18,falsified,0.0219
2,8,0.19,falsified,0.0192
2,8,0.2,falsified,0.0195
2,33,0.01,verified,0.2105
2,33,0.02,verified,0.2045
2,33,0.03,verified,0.2087
2,33,0.04,verified,0.2135
2,33,0.05,falsified,0.0112
2,33,0.06,falsified,0.0197
2,33,0.07,falsified,0.0196
2,33,0.08,falsified,0.0251
2,33,0.09,falsified,0.0801
2,33,0.1,falsified,0.0194
2,33,0.11,falsified,0.0199
2,33,0.12,falsified,0.0202
2,33,0.13,falsified,0.0193
2,33,0.14,falsified,0.0197
2,33,0.15,falsified,0.0205
2,33,0.16,falsified,0.0213
2,33,0.17,falsified,0.0209
2,33,0.18,falsified,0.0201
2,33,0.19,falsified,0.0199
2,33,0.2,falsified,0.0199
